EntityId,EntityName,Category,IsBronze,IsEnabled,IsFailed,IsProcessing,MaxProcessedDateTimeUTC,SevenDayAvgProcessedTimeUTC,ChildEntitiesJSON
5,product_details,products,0,1,0,0,2024-02-15 03:03:33.7000000,08:37:17,"[{""ChildEntityId"":59,""ChildIsRequired"":true}]"
6,product_ean,products,0,1,0,0,2024-02-15 03:03:33.3400000,08:37:16,
7,product_measurement,products,0,1,0,0,2024-02-15 03:03:31.8100000,08:37:22,
8,product_pim_data,products,0,1,0,0,2024-02-14 21:23:25.9566667,21:22:01,"[{""ChildEntityId"":59,""ChildIsRequired"":false}]"
9,product_supplier,products,0,1,0,0,2024-02-15 03:03:33.3566667,02:59:09,"[{""ChildEntityId"":59,""ChildIsRequired"":true}]"
10,c_brown_data_prod.sap_bw.t_zsd_d03,bronze,1,1,0,0,2024-02-15 05:31:02.5194942,12:22:32,"[{""ChildEntityId"":73,""ChildIsRequired"":true},{""ChildEntityId"":74,""ChildIsRequired"":true},{""ChildEntityId"":75,""ChildIsRequired"":true},{""ChildEntityId"":76,""ChildIsRequired"":true}]"
11,c_brown_data_prod.pimmd.t_product_item,bronze,1,1,0,0,2024-02-14 21:21:54.4704562,21:20:35,"[{""ChildEntityId"":8,""ChildIsRequired"":true},{""ChildEntityId"":17,""ChildIsRequired"":false},{""ChildEntityId"":103,""ChildIsRequired"":true}]"
12,c_brown_data_prod.sap_erp_hurt.t_eina,bronze,1,1,0,0,2024-02-15 02:27:30.6082795,02:23:37,"[{""ChildEntityId"":9,""ChildIsRequired"":true}]"
13,c_brown_data_prod.sap_erp_hurt.t_lfa1,bronze,1,1,0,0,2024-02-15 02:44:08.6381794,08:50:51,"[{""ChildEntityId"":9,""ChildIsRequired"":true},{""ChildEntityId"":82,""ChildIsRequired"":true}]"
14,c_brown_data_prod.sap_erp_hurt.t_mara,bronze,1,1,0,0,2024-02-15 02:44:57.8413694,08:51:31,"[{""ChildEntityId"":17,""ChildIsRequired"":true},{""ChildEntityId"":5,""ChildIsRequired"":true},{""ChildEntityId"":7,""ChildIsRequired"":true},{""ChildEntityId"":105,""ChildIsRequired"":true}]"
15,c_brown_data_prod.sap_erp_hurt.t_marm,bronze,1,1,0,0,2024-02-15 02:43:57.3412570,08:50:59,"[{""ChildEntityId"":7,""ChildIsRequired"":true}]"
16,c_brown_data_prod.sap_erp_hurt.t_mean,bronze,1,1,0,0,2024-02-15 02:44:26.1381863,08:51:57,"[{""ChildEntityId"":6,""ChildIsRequired"":true}]"
17,product,products,0,1,0,0,2024-02-15 02:58:25.8366667,08:30:00,"[{""ChildEntityId"":5,""ChildIsRequired"":true},{""ChildEntityId"":6,""ChildIsRequired"":true},{""ChildEntityId"":7,""ChildIsRequired"":true},{""ChildEntityId"":8,""ChildIsRequired"":true},{""ChildEntityId"":9,""ChildIsRequired"":true},{""ChildEntityId"":59,""ChildIsRequired"":true},{""ChildEntityId"":60,""ChildIsRequired"":true},{""ChildEntityId"":76,""ChildIsRequired"":true},{""ChildEntityId"":79,""ChildIsRequired"":true}]"
18,c_brown_data_prod.cbf.t_pos2_dl_cust_order_head_view,bronze,1,1,0,0,2024-02-15 08:14:16.3514717,12:10:59,"[{""ChildEntityId"":76,""ChildIsRequired"":true}]"
19,c_brown_data_prod.cbf.t_pos2_dl_docum_head_view,bronze,1,1,0,0,2024-02-15 08:13:30.8659879,12:10:18,"[{""ChildEntityId"":74,""ChildIsRequired"":true},{""ChildEntityId"":76,""ChildIsRequired"":true}]"
20,c_brown_data_prod.cbf.t_pos2_dl_docum_item_view,bronze,1,1,0,0,2024-02-15 08:13:52.2883021,12:10:38,"[{""ChildEntityId"":76,""ChildIsRequired"":true}]"
21,c_brown_data_prod.sap_bw.t_0cust_sales,bronze,1,1,0,0,2024-02-15 02:24:56.9205986,03:54:09,"[{""ChildEntityId"":70,""ChildIsRequired"":true}]"
22,c_brown_data_prod.sap_bw.t_0plant,bronze,1,1,0,0,2024-02-15 01:20:11.3297472,02:40:15,"[{""ChildEntityId"":80,""ChildIsRequired"":true}]"
23,c_brown_data_prod.sap_bw.t_0salesorg,bronze,1,1,0,0,2024-02-15 01:32:53.5741214,02:54:11,"[{""ChildEntityId"":67,""ChildIsRequired"":true},{""ChildEntityId"":70,""ChildIsRequired"":true}]"
24,c_brown_data_prod.sap_bw.t_0ship_to,bronze,1,1,0,0,2024-02-15 01:44:57.1618682,03:07:27,"[{""ChildEntityId"":70,""ChildIsRequired"":true}]"
25,c_brown_data_prod.sap_bw.t_koszt_sta,bronze,1,1,0,0,2024-02-15 05:33:52.0358990,05:36:10,"[{""ChildEntityId"":76,""ChildIsRequired"":true}]"
26,c_brown_data_prod.sap_bw.t_promo,bronze,1,1,0,0,2024-02-15 02:27:46.8894759,02:26:09,"[{""ChildEntityId"":78,""ChildIsRequired"":true}]"
27,c_brown_data_prod.sap_bw.t_zsd_d23,bronze,1,1,0,0,2024-02-15 05:14:54.4283451,11:58:52,"[{""ChildEntityId"":73,""ChildIsRequired"":true},{""ChildEntityId"":74,""ChildIsRequired"":true},{""ChildEntityId"":75,""ChildIsRequired"":true},{""ChildEntityId"":76,""ChildIsRequired"":true}]"
28,c_brown_data_prod.sap_bw.t_zsd_d44b,bronze,1,1,0,0,2024-02-15 05:39:58.3068993,12:56:12,"[{""ChildEntityId"":79,""ChildIsRequired"":true}]"
29,c_brown_data_prod.sap_bw.t_zsd_d54a,bronze,1,1,0,0,2024-02-15 05:37:08.6773871,12:39:44,"[{""ChildEntityId"":79,""ChildIsRequired"":true}]"
30,c_brown_data_prod.sap_bw.t_zsd_dcgr,bronze,1,1,0,0,2024-02-15 01:28:18.2424456,02:49:06,"[{""ChildEntityId"":67,""ChildIsRequired"":true},{""ChildEntityId"":75,""ChildIsRequired"":true}]"
31,c_brown_data_prod.sap_bw.t_ztgrukm,bronze,1,1,0,0,2024-02-15 01:30:16.7595413,02:51:19,"[{""ChildEntityId"":75,""ChildIsRequired"":true}]"
